"","client_nr","yearmonth","credit_application","nr_credit_applications"
"1",1,"201401",0,0
"2",1,"201402",0,0
"3",1,"201403",0,0
"4",1,"201404",0,0
"5",1,"201405",0,0
"6",1,"201406",0,0
"7",1,"201407",0,0
"8",1,"201408",0,0
"9",1,"201409",0,0
"10",1,"201410",0,0
"11",1,"201411",0,0
"12",1,"201412",0,0
"13",1,"201501",0,0
"14",1,"201502",0,0
"15",1,"201503",0,0
"16",1,"201504",0,0
"17",1,"201505",0,0
"18",1,"201506",0,0
"19",1,"201507",0,0
"20",1,"201508",0,0
"21",1,"201509",0,0
"22",1,"201510",0,0
"23",1,"201511",0,0
"24",1,"201512",0,0
"25",1,"201601",0,0
"26",1,"201602",0,0
"27",1,"201603",0,0
"28",1,"201604",0,0
"29",1,"201605",0,0
"30",1,"201606",0,0
"31",1,"201607",0,0
"32",1,"201608",0,0
"33",2,"201401",0,0
"34",2,"201402",0,0
"35",2,"201403",0,0
"36",2,"201404",0,0
"37",2,"201405",0,0
"38",2,"201406",0,0
"39",2,"201407",0,0
"40",2,"201408",0,0
"41",2,"201409",0,0
"42",2,"201410",0,0
"43",2,"201411",0,0
"44",2,"201412",0,0
"45",2,"201501",0,0
"46",2,"201502",0,0
"47",2,"201503",0,0
"48",2,"201504",0,0
"49",2,"201505",0,0
"50",2,"201506",0,0
"51",2,"201507",0,0
"52",2,"201508",0,0
"53",2,"201509",0,0
"54",2,"201510",0,0
"55",2,"201511",0,0
"56",2,"201512",0,0
"57",2,"201601",0,0
"58",2,"201602",0,0
"59",2,"201603",0,0
"60",2,"201604",0,0
"61",2,"201605",0,0
"62",2,"201606",0,0
"63",2,"201607",0,0
"64",2,"201608",0,0
"65",3,"201401",0,0
"66",3,"201402",0,0
"67",3,"201403",0,0
"68",3,"201404",0,0
"69",3,"201405",0,0
"70",3,"201406",0,0
"71",3,"201407",1,1
"72",3,"201408",0,0
"73",3,"201409",0,0
"74",3,"201410",0,0
"75",3,"201411",0,0
"76",3,"201412",0,0
"77",3,"201501",0,0
"78",3,"201502",0,0
"79",3,"201503",0,0
"80",3,"201504",0,0
"81",3,"201505",0,0
"82",3,"201506",1,2
"83",3,"201507",0,0
"84",3,"201508",0,0
"85",3,"201509",0,0
"86",3,"201510",0,0
"87",3,"201511",0,0
"88",3,"201512",1,1
"89",3,"201601",0,0
"90",3,"201602",0,0
"91",3,"201603",0,0
"92",3,"201604",0,0
"93",3,"201605",0,0
"94",3,"201606",0,0
"95",3,"201607",0,0
"96",3,"201608",1,1
"97",4,"201401",0,0
"98",4,"201402",0,0
"99",4,"201403",0,0
"100",4,"201404",0,0
"101",4,"201405",0,0
"102",4,"201406",0,0
"103",4,"201407",0,0
"104",4,"201408",0,0
"105",4,"201409",0,0
"106",4,"201410",0,0
"107",4,"201411",0,0
"108",4,"201412",0,0
"109",4,"201501",0,0
"110",4,"201502",0,0
"111",4,"201503",0,0
"112",4,"201504",0,0
"113",4,"201505",0,0
"114",4,"201506",0,0
"115",4,"201507",0,0
"116",4,"201508",0,0
"117",4,"201509",0,0
"118",4,"201510",0,0
"119",4,"201511",0,0
"120",4,"201512",0,0
"121",4,"201601",0,0
"122",4,"201602",0,0
"123",4,"201603",0,0
"124",4,"201604",0,0
"125",4,"201605",0,0
"126",4,"201606",0,0
"127",4,"201607",1,1
"128",4,"201608",0,0
"129",5,"201401",0,0
"130",5,"201402",0,0
"131",5,"201403",0,0
"132",5,"201404",0,0
"133",5,"201405",0,0
"134",5,"201406",0,0
"135",5,"201407",0,0
"136",5,"201408",0,0
"137",5,"201409",0,0
"138",5,"201410",0,0
"139",5,"201411",0,0
"140",5,"201412",0,0
"141",5,"201501",0,0
"142",5,"201502",0,0
"143",5,"201503",0,0
"144",5,"201504",0,0
"145",5,"201505",0,0
"146",5,"201506",0,0
"147",5,"201507",0,0
"148",5,"201508",0,0
"149",5,"201509",0,0
"150",5,"201510",0,0
"151",5,"201511",0,0
"152",5,"201512",0,0
"153",5,"201601",0,0
"154",5,"201602",0,0
"155",5,"201603",0,0
"156",5,"201604",0,0
"157",5,"201605",0,0
"158",5,"201606",0,0
"159",5,"201607",0,0
"160",5,"201608",0,0
"161",6,"201401",0,0
"162",6,"201402",0,0
"163",6,"201403",0,0
"164",6,"201404",0,0
"165",6,"201405",0,0
"166",6,"201406",0,0
"167",6,"201407",0,0
"168",6,"201408",0,0
"169",6,"201409",0,0
"170",6,"201410",0,0
