"","client_nr","yearmonth","total_nr_trx","nr_debit_trx","volume_debit_trx","nr_credit_trx","volume_credit_trx","min_balance","max_balance","CRG"
"1",1,"201401",97,50,6527929,47,7454863,-7914288,25110651,"1"
"2",1,"201402",88,59,3475918,29,1895848,-8448513,25036651,"1"
"3",1,"201403",96,62,31316405,34,20083583,-10347650,18020151,"1"
"4",1,"201404",83,53,18669967,30,1091295,-15385039,13318200,"1"
"5",1,"201405",94,54,2893905,40,2034075,-15682170,2350000,"1"
"6",1,"201406",74,51,2083142,23,3241073,-15927514,2000000,"1"
"7",1,"201407",76,59,2538771,17,4564281,-15823639,2005161,"1"
"8",1,"201408",62,40,2620143,22,4280647,-14468191,1750000,"1"
"9",1,"201409",90,49,2500177,41,8339304,-12025540,1600000,"1"
"10",1,"201410",112,68,5848714,44,17013661,-7211508,7819451,"1"
"11",1,"201411",97,53,3770563,44,5723113,0,4969172,"1"
"12",1,"201412",110,63,4515631,47,4847378,427102,3962960,"1"
"13",1,"201501",80,47,3557403,33,4026652,466398,6192717,"1"
"14",1,"201502",74,42,1820153,32,3663796,230676,8062717,"1"
"15",1,"201503",82,53,3754339,29,2428361,37214,2193172,"1"
"16",1,"201504",76,46,3488014,30,1784777,-147690,8062294,"1"
"17",1,"201505",97,50,2103946,47,3665406,-377181,9673437,"1"
"18",1,"201506",96,58,3772843,38,1591559,-2355950,1454943,"1"
"19",1,"201507",82,55,3086010,27,1347905,-3908311,9673261,"1"
"20",1,"201508",62,38,2128566,24,4765230,-4875507,13511261,"1"
"21",1,"201509",95,54,6990843,41,2760953,-8959861,12511261,"1"
"22",1,"201510",109,67,2685564,42,1856578,-9749837,12510909,"1"
"23",1,"201511",94,53,5143636,41,6172488,-10119628,2057536,"1"
"24",1,"201512",105,57,3901464,48,4840525,-10218553,2329949,"1"
"25",1,"201601",52,39,3543574,13,1163586,-9908427,12510823,"1"
"26",1,"201602",50,33,503460,17,553210,-9936488,1879406,"1"
"27",1,"201603",60,40,3532728,20,3541991,-9923867,12750606,"1"
"28",1,"201604",45,32,819025,13,488143,-10291903,12750426,"1"
"29",1,"201605",45,30,999849,15,431060,-10724536,1636168,"1"
"30",1,"201606",23,21,250012,2,47701,-10868626,1585224,"1"
"31",1,"201607",39,33,578297,6,178219,-11189619,12750338,"1"
"32",1,"201608",30,24,308413,6,1522424,-11158819,1354230,"1"
"33",2,"201401",129,51,37779523,78,21304162,-12411505,65466495,"1"
"34",2,"201402",124,47,22150080,77,19416626,-15148013,52466495,"1"
"35",2,"201403",118,45,17202611,73,18759311,-15197764,14401230,"1"
"36",2,"201404",119,47,16942720,72,13661668,-14321009,11400517,"1"
"37",2,"201405",121,32,14119282,89,14847908,-14171638,10399993,"1"
"38",2,"201406",134,45,21005842,89,30467898,-12313900,53466495,"1"
"39",2,"201407",157,52,19599127,105,25641640,-6738485,57466495,"1"
"40",2,"201408",118,46,12351610,72,9695295,-4394783,5536979,"1"
"41",2,"201409",114,43,13259851,71,13913842,-4292288,60966495,"1"
"42",2,"201410",131,52,11567087,79,11822700,-3700669,2035916,"1"
"43",2,"201411",120,43,10576564,77,12064047,-3222822,2376814,"1"
"44",2,"201412",132,39,11722366,93,14699402,-1648485,2548212,"1"
"45",2,"201501",119,48,17118464,71,12791974,-3757118,61804319,"1"
"46",2,"201502",106,39,21300931,67,16024965,-9002626,58304319,"1"
"47",2,"201503",127,55,15492924,72,16620954,-9915127,55304319,"1"
"48",2,"201504",116,47,30414132,69,28314421,-11091217,8531918,"1"
"49",2,"201505",112,34,13535240,78,12693257,-12242989,8530752,"1"
"50",2,"201506",133,42,16894237,91,25137647,-10777591,58804319,"1"
"51",2,"201507",151,50,17115574,101,23623902,-4637825,6649242,"1"
"52",2,"201508",134,44,16765417,90,18083601,28577,63804319,"1"
"53",2,"201509",129,45,13030685,84,10068528,28003,7470363,"1"
"54",2,"201510",121,44,11843533,77,12328290,27049,5324706,"1"
"55",2,"201511",113,35,11058760,78,10872935,26482,5461560,"1"
"56",2,"201512",126,40,14014070,86,12683927,-291709,5562453,"1"
"57",2,"201601",114,43,13441596,71,10883179,-2028628,64536435,"1"
"58",2,"201602",128,46,14625636,82,14793166,-3657624,1830455,"1"
"59",2,"201603",126,44,19471079,82,17784249,-4200508,60536435,"1"
"60",2,"201604",120,46,20599096,74,20806111,-3722643,4023447,"1"
"61",2,"201605",125,44,13063205,81,13773013,-3777634,4022865,"1"
"62",2,"201606",107,41,11874991,66,13820289,-3084669,4929789,"1"
"63",2,"201607",115,37,18309618,78,14840489,-5188098,63536435,"1"
"64",2,"201608",112,35,9357231,77,12067666,-5092896,2608767,"1"
"65",3,"201401",108,58,18435129,50,14205277,-48816336,-37748092,"4"
"66",3,"201402",107,63,12123074,44,13551487,-49003860,-38561550,"4"
"67",3,"201403",113,62,16805568,51,14817067,-49376424,-38178654,"4"
"68",3,"201404",129,76,14924147,53,14728249,-50135415,-43614009,"4"
"69",3,"201405",102,52,13289409,50,13553394,-49844805,-41952527,"4"
"70",3,"201406",127,71,16759486,56,17590279,-52102090,-41079186,"4"
"71",3,"201407",138,80,16424314,58,18660918,-50657408,-43590640,"4"
"72",3,"201408",120,72,19270545,48,13876281,-51832300,-44541284,"4"
"73",3,"201409",108,56,9470085,52,13369093,-52745542,-46033284,"4"
"74",3,"201410",118,69,17847193,49,15644271,-54170839,-45800231,"4"
"75",3,"201411",117,75,15831676,42,13540482,-52447029,-44102348,"4"
"76",3,"201412",115,63,19112385,52,21212812,-52592762,-38720639,"4"
"77",3,"201501",135,83,20277646,52,19763925,-53086114,-40707254,"4"
"78",3,"201502",103,60,11028747,43,10160180,-51700181,-46414653,"4"
"79",3,"201503",124,69,9808174,55,15490868,-51430942,-43952416,"4"
"80",3,"201504",123,70,18811754,53,14059888,-52549166,-44392895,"4"
"81",3,"201505",100,54,10635695,46,12569647,-50160181,-41743437,"4"
"82",3,"201506",119,62,20268645,57,18085849,-50869752,-37022602,"4"
"83",3,"201507",142,81,15415234,61,19399412,-51773317,-43906716,"4"
